,class1,class2,2019,2018,2017,2016,2015,2014,2013,2012
0,유동자산,유동자산,15242686000000,13720522000000,11619692000000,12431879000000,11222945000000,8714144662000,9460445160000,7855798334000
1,유동자산,현금및현금성자산,3512676000000,2944541000000,2109153000000,2860421000000,1182441000000,1009122524000,1350376230000,1232709840000
2,유동자산,매도가능금융자산,0,0,291000000,414000000,336000000,4009371000,709987000,10508906000
3,유동자산,당기손익-공정가치측정금융자산(유동),11171000000,15000000,0,,,,,
4,유동자산,기타포괄손익-공정가치측정금융자산(유동),50000000,156000000,0,,,,,
5,유동자산,상각후원가 측정 금융자산,9998000000,0,0,,,,,
6,유동자산,매출채권및기타채권,4164467000000,4244879000000,5035330000000,4957302000000,5127375000000,3837669070000,4441368349000,3534550006000
7,유동자산,기타금융자산,772973000000,711140000000,676752000000,706975000000,833494000000,388747059000,404802277000,198122957000
8,유동자산,기타유동자산,2313811000000,1844018000000,1034290000000,991283000000,798111000000,646057103000,692692032000,632047062000
9,유동자산,당기법인세자산,24694000000,15431000000,11963000000,20564000000,17186000000,12633144000,7030767000,5386343000
10,유동자산,재고자산,3915788000000,3879808000000,2690791000000,2754900000000,3110197000000,2767242711000,2506671505000,2129032678000
11,유동자산,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,517058000000,80534000000,61122000000,140020000000,153805000000,48663680000,56794013000,113440542000
12,비유동자산,비유동자산,18698208000000,17460847000000,16152146000000,16309844000000,15476587000000,12354143804000,12022445394000,12808989691000
13,비유동자산,매도가능금융자산,0,0,478059000000,584045000000,923207000000,4009371000,709987000,10508906000
14,비유동자산,당기손익-공정가치측정금융자산(비유동),150982000000,155203000000,0,,,,,
15,비유동자산,기타포괄손익-공정가치측정금융자산(비유동),17107000000,23669000000,0,,,,,
16,비유동자산,매출채권및기타채권,182632000000,93866000000,84751000000,52692000000,69005000000,3837669070000,4441368349000,3534550006000
17,비유동자산,기타금융자산,270826000000,211341000000,193861000000,437501000000,243788000000,388747059000,404802277000,198122957000
18,비유동자산,종속기업및관계기업투자,2248532000000,2102268000000,2290061000000,1884555000000,1601873000000,,,
19,비유동자산,투자부동산,752650000000,814188000000,962153000000,1119394000000,955009000000,1124646146000,1105753776000,1398637809000
20,비유동자산,유형자산,11462113000000,11480140000000,10176341000000,10327698000000,10406370000000,8960829119000,8879905825000,8727545251000
21,비유동자산,무형자산,2521752000000,2059497000000,1550579000000,1521603000000,880258000000,662693664000,622816650000,667433781000
22,비유동자산,사용권자산,492256000000,0,0,,,,,
23,비유동자산,기타비유동자산,188110000000,154906000000,71370000000,65804000000,96925000000,85053585000,55283559000,49599302000
24,비유동자산,이연법인세자산,411248000000,365769000000,344971000000,316552000000,300152000000,111771468000,70355698000,91653258000
25,금융업자산,금융업자산,148345284000000,138367208000000,132423140000000,126129315000000,118922183000000,102615973824000,91839719119000,83420860098000
26,금융업자산,현금및현금성자산,1062273000000,2114197000000,785401000000,908538000000,1061754000000,1009122524000,1350376230000,1232709840000
27,금융업자산,예치금,0,0,1001668000000,1112047000000,925959000000,880514692000,667771466000,2271998921000
28,금융업자산,당기손익-공정가치측정금융자산,25420904000000,20164936000000,0,,,,,
29,금융업자산,기타포괄손익-공정가치측정금융자산,26316338000000,23457239000000,0,,,,,
30,금융업자산,상각후원가측정금융자산,62284778000000,60480040000000,0,,,,,
31,금융업자산,당기손익인식금융자산,0,0,7305010000000,,,,,
32,금융업자산,매도가능금융자산,0,0,31470962000000,414000000,336000000,4009371000,709987000,10508906000
33,금융업자산,만기보유금융자산,0,0,31529787000000,,,,,
34,금융업자산,관계기업투자및조인트벤처투자,253667000000,153432000000,167805000000,143108000000,218532000000,,,
35,금융업자산,대출채권및기타채권,0,0,26823704000000,25687825000000,22742944000000,21332438453000,20379573157000,18122099183000
36,금융업자산,유형자산,1741442000000,1681989000000,1699399000000,1759875000000,1780003000000,8960829119000,8879905825000,8727545251000
37,금융업자산,투자부동산,2441589000000,2404677000000,2375656000000,2709261000000,2764893000000,1124646146000,1105753776000,1398637809000
38,금융업자산,무형자산,360819000000,317169000000,388069000000,392167000000,416615000000,662693664000,622816650000,667433781000
39,금융업자산,사용권자산,82726000000,0,0,,,,,
40,금융업자산,파생상품자산,459013000000,493277000000,1646078000000,765753000000,564112000000,45696945000,149123577000,107972643000
41,금융업자산,당기법인세자산,148679000000,13728000000,128275000000,76683000000,90988000000,12633144000,7030767000,5386343000
42,금융업자산,이연법인세자산,22191000000,251653000000,40409000000,33359000000,15390000000,111771468000,70355698000,91653258000
43,금융업자산,기타금융자산,2283505000000,2056028000000,2426568000000,2046302000000,1897508000000,388747059000,404802277000,198122957000
44,금융업자산,기타자산,3339279000000,3368153000000,2983688000000,3195282000000,3340968000000,3399527607000,3509119901000,3467604909000
45,금융업자산,특별계정자산,22128081000000,21410690000000,21650661000000,19871076000000,19015306000000,17870006003000,16377327256000,14821304463000
46,자  산  총  계,자  산  총  계,182286178000000,169548577000000,160194978000000,154871038000000,145621715000000,123684262290000,113322609673000,104085648123000
47,유동부채,유동부채,16002711000000,14870001000000,12930690000000,13661160000000,12794859000000,9338687120000,9075173488000,8835381866000
48,유동부채,매입채무및기타채무,3010231000000,3005321000000,3385071000000,3748162000000,2964304000000,2641615131000,2850834541000,2628456630000
49,유동부채,차입금및사채,7240643000000,7062482000000,5804804000000,6155197000000,6123243000000,4758812742000,4732458317000,4829485362000
50,유동부채,기타금융부채,900098000000,786101000000,740551000000,801605000000,727781000000,376868584000,310709782000,332827180000
51,유동부채,기타유동부채,4163119000000,3459705000000,2460873000000,2609980000000,2787965000000,1356343836000,977276633000,907252482000
52,유동부채,유동충당부채,450710000000,364124000000,239930000000,90784000000,84520000000,117735406000,80557173000,74639783000
53,유동부채,당기법인세부채,132132000000,185279000000,299461000000,255432000000,103671000000,87311421000,120614028000,62720429000
54,유동부채,매각예정 처분자산집단 부채,105778000000,6989000000,0,,,,,
55,비유동부채,비유동부채,12403942000000,10643231000000,9637772000000,10392057000000,10277999000000,8775651189000,9043414763000,8489180392000
56,비유동부채,매입채무및기타채무,266051000000,164078000000,139134000000,162274000000,404023000000,2641615131000,2850834541000,2628456630000
57,비유동부채,차입금및사채,6886500000000,5799913000000,5139400000000,5702303000000,5558982000000,4758812742000,4732458317000,4829485362000
58,비유동부채,기타금융부채,863787000000,326550000000,348546000000,263047000000,315011000000,376868584000,310709782000,332827180000
59,비유동부채,기타비유동비금융부채,1215863000000,1278849000000,1264979000000,1417063000000,1428572000000,1082217638000,1132232752000,1249440011000
60,비유동부채,순확정급여부채,1663876000000,1554394000000,1371094000000,1342575000000,1091263000000,774316153000,726631060000,697179153000
61,비유동부채,비유동충당부채,332284000000,279589000000,200587000000,328756000000,229715000000,117735406000,80557173000,74639783000
62,비유동부채,이연법인세부채,1175581000000,1239858000000,1174032000000,1176039000000,1250433000000,1055644491000,929608368000,1049348859000
63,금융업부채,금융업부채,135615554000000,127082310000000,121661770000000,116589885000000,108903191000000,93454685538000,84428065285000,76175128876000
64,금융업부채,예수부채,1233940000000,1151598000000,1243860000000,905265000000,883949000000,492505983000,657650158000,655831941000
65,금융업부채,보험계약부채,99268148000000,94572120000000,90222047000000,84938943000000,77954410000000,71054579418000,64810093245000,57955756684000
66,금융업부채,계약자지분조정,429442000000,172509000000,701449000000,816948000000,1154694000000,1053376792000,264297971000,466717477000
67,금융업부채,당기법인세부채,6051000000,294262000000,22148000000,14331000000,3947000000,87311421000,120614028000,62720429000
68,금융업부채,이연법인세부채,315870000000,213749000000,646220000000,530594000000,730807000000,1055644491000,929608368000,1049348859000
69,금융업부채,파생상품부채,737831000000,565918000000,166066000000,1751745000000,1530346000000,334390452000,31369456000,18659544000
70,금융업부채,순확정급여부채,200035000000,173403000000,153389000000,185094000000,169374000000,774316153000,726631060000,697179153000
71,금융업부채,충당부채,72809000000,58802000000,49878000000,55195000000,25876000000,117735406000,80557173000,74639783000
72,금융업부채,기타금융부채,10502301000000,7684399000000,6463536000000,6523824000000,6891946000000,376868584000,310709782000,332827180000
73,금융업부채,기타부채,208597000000,160541000000,181062000000,255463000000,256260000000,244007570000,182763095000,140413863000
74,금융업부채,특별계정부채,22640530000000,22035009000000,21812115000000,20612483000000,19301582000000,18012823938000,16802634391000,14948129868000
75,부  채  총  계,부  채  총  계,164022207000000,152595542000000,144230232000000,140643102000000,131976049000000,111569023847000,102546653536000,93499691134000
76,지배기업의 소유주에게 귀속되는 자본,지배기업의 소유주에게 귀속되는 자본,4425317000000,4185385000000,4541292000000,4408148000000,4154515000000,4358340532000,4300065245000,4280592122000
77,지배기업의 소유주에게 귀속되는 자본,자본금,489550000000,489550000000,489550000000,489550000000,377190000000,377190145000,377190145000,377190145000
78,지배기업의 소유주에게 귀속되는 자본,자본잉여금,485853000000,496385000000,547154000000,670913000000,522245000000,404918154000,472849561000,477791021000
79,지배기업의 소유주에게 귀속되는 자본,자본조정,20268000000,23339000000,38295000000,38196000000,38864000000,38568251000,38711211000,33575198000
80,지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,-171060000000,-484146000000,101197000000,214194000000,626874000000,592803246000,32862111000,116752953000
81,지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),3600706000000,3660257000000,3365096000000,2995295000000,2589342000000,2944860736000,3378452217000,3275282805000
82,비지배지분,비지배지분,13838654000000,12767650000000,11423454000000,9819788000000,9491151000000,7756897911000,6475890892000,6305364867000
83,자본총계,자본총계,18263971000000,16953035000000,15964746000000,14227936000000,13645666000000,12115238443000,10775956137000,10585956989000
84,,자본과부채총계,182286178000000,169548577000000,160194978000000,154871038000000,145621715000000,123684262290000,113322609673000,104085648123000
