,종목코드,15-16,16-17,17-18,18-19,19-20
0,000070,2,0,0,0,0
1,000080,2,0,1,0,2
2,000100,2,0,0,1,0
3,000120,0,0,0,2,0
4,000150,0,1,1,0,0
5,000210,2,0,0,2,0
6,000240,1,0,0,0,0
7,000270,1,0,0,1,0
8,000640,2,0,1,0,0
9,000660,0,2,2,0,1
10,000670,0,0,0,0,0
11,000720,0,2,0,2,0
12,000810,1,0,1,1,0
13,000880,0,1,1,0,0
14,000990,2,1,0,0,2
15,001040,1,0,0,0,0
16,001060,2,2,0,0,0
17,001120,0,0,0,0,0
18,001230,2,2,0,0,0
19,001430,0,1,0,0,0
20,001450,2,1,1,0,0
21,001520,2,0,0,1,0
22,001680,0,0,1,1,0
23,001740,0,2,0,1,0
24,001800,0,0,0,0,0
25,002240,0,0,0,0,0
26,002270,2,0,1,0,0
27,002350,1,0,0,0,0
28,002380,0,0,0,0,0
29,002790,0,0,2,0,0
30,002960,1,0,0,0,0
31,003000,1,0,2,0,2
32,003240,0,0,2,2,0
33,003410,1,0,2,0,0
34,003490,0,1,1,0,0
35,003520,2,2,1,0,0
36,003550,1,1,2,0,0
37,003620,0,0,0,1,0
38,003850,2,0,1,0,0
39,003920,1,1,0,0,0
40,004000,0,0,2,0,0
41,004020,0,1,0,0,0
42,004170,2,0,2,0,0
43,004370,2,0,1,1,0
44,004490,0,0,0,2,0
45,004800,2,0,0,0,0
46,004990,2,0,0,0,0
47,005180,0,0,0,1,0
48,005250,2,0,2,0,0
49,005300,1,0,1,2,0
50,005380,0,1,0,0,0
51,005440,0,0,0,1,0
52,005490,0,2,1,0,0
53,005610,0,1,0,1,0
54,005830,2,0,1,1,0
55,005850,0,2,1,1,0
56,005930,0,2,2,0,1
57,005940,0,2,1,0,0
58,006120,2,0,0,0,0
59,006260,0,2,2,0,0
60,006280,1,0,2,0,0
61,006360,0,1,0,2,0
62,006390,0,1,0,2,0
63,006400,0,2,2,1,1
64,006650,2,0,2,0,0
65,006800,0,1,1,0,0
66,006840,0,1,2,0,0
67,007070,2,1,0,2,0
68,007310,2,0,0,1,0
69,007570,2,0,1,0,2
70,008060,0,2,0,2,0
71,008560,0,1,1,2,0
72,008770,0,0,2,0,0
73,008930,2,0,2,0,0
74,009150,0,2,2,1,0
75,009240,2,0,0,0,0
76,009420,2,0,2,1,0
77,009540,0,2,0,0,0
78,009830,2,1,1,0,0
79,010060,1,0,2,0,0
80,010120,0,1,2,0,0
81,010130,1,0,1,0,0
82,010140,0,1,0,1,0
83,010620,0,2,1,0,0
84,010780,0,0,0,1,0
85,010950,2,1,2,0,0
86,011070,0,2,0,0,0
87,011170,2,1,2,0,0
88,011210,0,0,0,0,0
89,011780,0,2,2,1,0
90,011790,0,1,2,0,1
91,012330,0,1,0,0,0
92,012450,2,2,0,2,0
93,012630,0,0,0,0,0
94,012750,1,1,1,1,0
95,014680,2,1,0,2,0
96,014820,2,0,0,0,0
97,014830,0,0,1,0,0
98,015760,2,0,0,0,0
99,016360,0,0,2,0,0
100,017670,0,2,0,1,0
101,017800,0,2,2,1,0
102,018250,,,,2,0
103,018260,0,0,2,0,0
104,018880,0,1,2,0,0
105,019680,2,0,0,0,0
106,020000,2,0,2,2,0
107,020150,2,2,2,1,0
108,021240,1,1,0,1,0
109,023530,1,0,1,0,0
110,024110,0,1,2,0,0
111,025540,2,0,0,1,0
112,025860,1,0,2,0,0
113,026960,1,0,0,0,0
114,027410,2,0,0,0,0
115,028050,0,2,2,0,0
116,028260,0,0,1,0,0
117,028670,2,2,0,0,0
118,029780,0,0,0,0,0
119,030000,0,1,0,2,0
120,030200,1,1,0,0,0
121,031430,1,0,2,2,0
122,032640,1,2,0,2,0
123,032830,2,0,1,0,0
124,033780,2,0,1,1,0
125,034020,0,1,0,0,0
126,034220,0,1,0,0,0
127,034730,0,1,2,0,0
128,035250,2,0,0,1,0
129,035420,0,2,0,0,2
130,035720,0,0,2,0,2
131,036460,0,2,1,0,0
132,036570,2,2,2,2,2
133,042660,0,2,0,1,0
134,042670,0,2,1,0,0
135,047040,0,2,0,0,0
136,047050,0,1,0,0,0
137,047810,1,0,0,0,0
138,049770,0,0,0,1,0
139,051600,0,0,0,0,0
140,051900,2,0,2,2,0
141,051910,2,0,2,0,0
142,052690,0,0,1,0,0
143,055550,0,2,0,0,0
144,057050,,0,0,1,0
145,060980,0,2,0,0,0
146,064350,0,2,0,2,0
147,064960,2,0,0,1,0
148,066570,1,1,2,0,0
149,068270,2,0,2,0,1
150,069260,0,2,1,0,0
151,069620,2,0,2,0,0
152,069960,0,0,0,1,0
153,071050,0,1,2,0,0
154,071840,0,1,2,0,0
155,073240,0,1,0,0,0
156,078930,2,1,1,0,0
157,079160,2,0,0,0,0
158,079430,0,0,0,0,0
159,079550,,0,0,0,0
160,081660,0,0,2,0,0
161,086280,0,0,1,0,0
162,086790,0,2,2,0,0
163,088350,0,0,1,0,0
164,090430,0,0,1,0,0
165,093050,0,0,2,0,0
166,093370,2,2,2,0,0
167,096760,2,0,1,0,0
168,096770,2,0,2,0,0
169,097950,0,1,0,1,0
170,103140,1,2,1,0,0
171,105560,0,2,2,0,0
172,105630,2,0,0,2,0
173,108670,0,0,0,0,0
174,111770,0,0,0,2,0
175,114090,0,0,2,0,0
176,115390,1,,2,0,0
177,120110,2,1,0,0,0
178,128940,2,0,2,0,0
179,138930,0,0,1,0,0
180,139480,0,2,2,0,0
181,145990,1,1,0,0,0
182,161390,2,1,0,0,0
183,161890,2,0,1,1,0
184,170900,2,0,2,0,0
185,185750,2,0,2,0,0
186,192400,1,0,0,2,0
187,192820,0,1,1,1,0
188,204320,0,2,0,0,0
189,207940,,,2,0,2
190,214320,,0,1,1,0
191,241560,,,0,0,0
192,251270,,,,0,0
193,267250,,,,0,0
194,271560,,,,0,1
195,282330,,,,2,0
196,285130,,,,0,2
197,294870,,,,,0
198,298040,,,,,0
199,316140,,,,,0
